Match Day,Date,Weekday,Home,Result,Away,,True Result,e1,e2,e3,e4
1,9/14/2020,Monday,Solar Flares,3-1,Dynamite,,3-1,500,500,625,375
1,9/14/2020,Monday,Squalls,3-1,Toucans,,3-1,500,500,625,375
1,9/14/2020,Monday,Hephaestus,2-2,Ospreys,,2-2,500,500,500,500
1,9/14/2020,Monday,Polar Ice,0-4,Chia Pets,,0-4,500,500,250,750
1,9/14/2020,Monday,TIE Fighters,4-0,Schnauzers,,4-0,500,500,750,250
1,9/14/2020,Monday,Recycling Bins,2-2,Pawberry Pancakes,,2-2,500,500,500,500
1,9/14/2020,Monday,Fruity Phantoms,3-1,Hydralisks,,3-1,500,500,625,375
1,9/14/2020,Monday,Stingrays,4-0,Aurora,,4-0,500,500,750,250
1,9/14/2020,Monday,Kraits,2-2,Triceratops,,2-2,500,500,500,500
1,9/14/2020,Monday,Threshers,3-1,Guardians of the Galaxy,,3-1,500,500,625,375
1,9/14/2020,Monday,Isopods,1-3,Arctic Foxes,,1-3,500,500,375,625
1,9/14/2020,Monday,Tens,2-2,Garlic Fingers,,2-2,500,500,500,500
1,9/14/2020,Monday,Saturn,2-2,Metal,,2-2,500,500,500,500
1,9/14/2020,Monday,Paperboys,0-4,Shock,,0-4,500,500,250,750
1,9/14/2020,Monday,Freemasons,3-1,Baboons,,3-1,500,500,625,375
1,9/14/2020,Monday,Spartans,3-1,Panda Bears,,3-1,500,500,625,375
2,9/16/2020,Wednesday,Dynamite,0-4,Toucans,,0-4,500,500,250,750
2,9/16/2020,Wednesday,Solar Flares,1-3,Squalls,,1-3,500,500,375,625
2,9/16/2020,Wednesday,Ospreys,2-2,Chia Pets,,2-2,500,500,500,500
2,9/16/2020,Wednesday,Hephaestus,3-1,Polar Ice,,3-1,500,500,588,412
2,9/16/2020,Wednesday,Schnauzers,1-3,Pawberry Pancakes,,1-3,500,500,412,588
2,9/16/2020,Wednesday,TIE Fighters,3-1,Recycling Bins,,3-1,500,500,588,412
2,9/16/2020,Wednesday,Hydralisks,0-4,Aurora,,0-4,500,500,323,677
2,9/16/2020,Wednesday,Stingrays,1-3,Fruity Phantoms,,1-3,500,500,412,588
2,9/16/2020,Wednesday,Triceratops,3-1,Guardians of the Galaxy,,3-1,500,500,588,412
2,9/16/2020,Wednesday,Kraits,1-3,Threshers,,1-3,500,500,412,588
2,9/16/2020,Wednesday,Arctic Foxes,2-2,Garlic Fingers,,2-2,500,500,500,500
2,9/16/2020,Wednesday,Isopods,2-2,Tens,,2-2,500,500,500,500
2,9/16/2020,Wednesday,Metal,2-2,Shock,,2-2,500,500,500,500
2,9/16/2020,Wednesday,Saturn,1-3,Paperboys,,1-3,500,500,412,588
2,9/16/2020,Wednesday,Baboons,2-2,Panda Bears,,2-2,500,500,500,500
2,9/16/2020,Wednesday,Freemasons,0-4,Spartans,,0-4,500,500,323,677
3,9/21/2020,Monday,Squalls,1-3,Dynamite,,1-3,500,500,412,588
3,9/21/2020,Monday,Toucans,3-1,Solar Flares,,3-1,500,500,588,412
3,9/21/2020,Monday,Polar Ice,3-1,Ospreys,,3-1,500,500,572,428
3,9/21/2020,Monday,Chia Pets,4-0,Hephaestus,,4-0,500,500,644,356
3,9/21/2020,Monday,Recycling Bins,4-0,Schnauzers,Schnauzers FF 4,0-0,500,500,500,500
3,9/21/2020,Monday,Pawberry Pancakes,1-3,TIE Fighters,,1-3,500,500,428,572
3,9/21/2020,Monday,Stingrays,1-3,Hydralisks,,1-3,500,500,428,572
3,9/21/2020,Monday,Aurora,2-2,Fruity Phantoms,,2-2,500,500,500,500
3,9/21/2020,Monday,Threshers,3-1,Triceratops,,3-1,500,500,572,428
3,9/21/2020,Monday,Guardians of the Galaxy,3-1,Kraits,,3-1,500,500,572,428
3,9/21/2020,Monday,Garlic Fingers,0-4,Isopods,,0-4,500,500,356,644
3,9/21/2020,Monday,Tens,0-4,Arctic Foxes,,0-4,500,500,356,644
3,9/21/2020,Monday,Paperboys,1-3,Metal,,1-3,500,500,428,572
3,9/21/2020,Monday,Shock,4-0,Saturn,,4-0,500,500,644,356
3,9/21/2020,Monday,Spartans,1-3,Baboons,,1-3,500,500,428,572
3,9/21/2020,Monday,Panda Bears,1-3,Freemasons,,1-3,500,500,428,572
4,9/23/2020,Wednesday,Ospreys,4-0,Dynamite,,4-0,500,500,625,356
4,9/23/2020,Wednesday,Chia Pets,4-0,Toucans,,4-0,500,500,625,356
4,9/23/2020,Wednesday,Hephaestus,2-2,Solar Flares,,2-2,500,500,500,500
4,9/23/2020,Wednesday,Polar Ice,3-1,Squalls,,3-1,500,500,563,428
4,9/23/2020,Wednesday,Hydralisks,2-2,Schnauzers,,2-2,500,500,500,500
4,9/23/2020,Wednesday,Aurora,1-3,Pawberry Pancakes,,1-3,500,500,438,563
4,9/23/2020,Wednesday,Fruity Phantoms,1-3,TIE Fighters,,1-3,500,500,438,563
4,9/23/2020,Wednesday,Stingrays,2-2,Recycling Bins,,2-2,500,500,500,500
4,9/23/2020,Wednesday,Arctic Foxes,2-2,Triceratops,,2-2,500,500,500,500
4,9/23/2020,Wednesday,Garlic Fingers,2-2,Guardians of the Galaxy,,2-2,500,500,500,500
4,9/23/2020,Wednesday,Isopods,4-0,Kraits,,4-0,500,500,625,375
4,9/23/2020,Wednesday,Tens,1-3,Threshers,,1-3,500,500,438,563
4,9/23/2020,Wednesday,Baboons,3-1,Metal,,3-1,500,500,563,438
4,9/23/2020,Wednesday,Panda Bears,3-1,Shock,,3-1,500,500,563,438
